contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
fermé }	1	0	0	pas
ils font	1	0	0	qu'est+ce+qu'
n+toto }	1	0	1	maintenant
homme }	1	0	0	l'
poussinet }	1	0	0	
ou ça	1	0	1	n
dans mon	2	1	0	n
où c'	2	1	1	v
le micro	6	2	3	v
les arbres	1	0	1	dans
un canard	1	0	0	v
être là	2	0	0	v
content }	1	0	0	est
et parlait	1	0	0	n
avec du	3	2	1	n
caché sous	1	0	0	est
que qu'	1	1	0	v
celui+ci finalement	1	0	1	v
y arriver	1	0	0	pas
jouer à	2	0	2	v
être un	2	0	0	v
là non+non+non+non	1	1	0	n
et y	1	1	0	n
leur proposer	1	0	0	v
de moins	1	1	0	n
histoire maman	1	0	0	l'
les pommes	2	0	1	bien
des couettes	1	0	0	hein
pour bien	1	1	0	plus
bonbons et	1	0	0	des
de pomme	3	3	0	drôle
un château	1	0	0	est
hein c'	2	1	1	n
un voyou	1	0	0	v
elle vient	3	1	1	elle
le printemps	1	0	0	v
déjà l'	1	0	1	v
encore une	1	0	1	a
jaunes le	1	1	0	n
et moins	1	0	1	n
à quoi	11	2	9	v
tiens pendant	1	1	0	je
et ces	1	1	0	n
la moitié	1	0	0	en+aura
un nez	1	1	0	a
de roues	1	0	0	pas
on termine	2	0	2	non
tout+à+l'heure le	1	0	1	v
foi }	1	0	0	ma
de deviner	1	0	1	n
dans ta	15	7	7	v
ah mais	1	1	0	ah
balle }	1	0	0	la
y sont	1	1	0	s
de Cél	1	1	0	n
qui appuie	1	1	0	n
mieux ce	1	0	1	v
parler }	2	0	2	pas
elle est	28	23	0	n
le va	1	0	1	v
oui aussi	1	0	1	n
idées }	1	1	0	des
du parc	1	0	0	v
il va	10	3	2	qu'
Croco }	1	0	0	soit
semble moins	1	1	0	me
hier déjà	1	0	1	v
pas parce+que	2	0	2	n
tartine oui	1	1	0	n
trois bougies	1	0	1	deux
mieux ton	1	0	1	v
ta voiture	4	1	2	où
qui arrive	2	2	0	n
savon }	1	0	0	le
Hippolyte }	1	0	1	n
à linge	1	1	0	n
autre chose	7	0	6	v
des saletés	1	1	0	v
le téléphone	2	1	1	v
retomber }	1	0	0	
là n'importe+comment	1	0	1	n
nouvelles manies	1	0	0	de
gastronomique }	1	1	0	
c' est	122	69	20	ça
mais elle	4	2	2	non
bon sang	1	1	0	ah
tout j'	1	0	0	v
des lèvres	1	0	0	v
à poubelle	1	1	0	v
parce+que on	1	0	0	hein
pas voler	1	0	0	v
là+dessous }	1	1	0	pas
une tour	2	1	1	n
le fond	1	0	1	dans
des rails	1	1	0	v
une jonquille	1	1	0	v
de continuer	1	0	1	difficile
les chaussons	2	0	1	v
manger ça	1	0	0	à
de petits	2	2	0	n
yeux aussi	1	0	0	les
le chausson	1	0	1	est
chez qui	1	0	0	v
finir par+terre	1	0	0	v
aussi hein	3	2	1	v
faire ça	2	0	0	v
tes affaires	2	0	1	dans
regarde il	2	1	0	n
de lire	3	0	2	v
et qu'est+ce+que	1	1	0	eh
on a	2	2	0	qu'
un jeu	1	0	1	est
à toi	2	1	1	est
de derrière	1	0	1	n
Bruit crie	1	0	0	Monsieur
téléphone }	1	0	0	un
quoi aussi	1	0	1	y+a
à être	3	0	3	v
la chasse	1	0	1	v
être assis	1	0	0	v
tresses là	1	0	0	
boire }	1	0	0	pour
après la	2	1	1	est
le spectacle	1	1	0	ça
ils sont	8	7	0	n
même }	1	1	0	la
l' armoire	1	0	0	sous
chouette }	1	0	1	est
on ne	2	1	0	non
une grande	1	1	0	v
le tour	1	0	0	v
deux secondes	1	1	0	v
près là	1	0	0	tout
tombée la	1	0	1	est
la piscine	1	0	1	à
oui Casimir	1	1	0	ah
avoir des	1	0	0	v
la baignoire	1	0	1	v
ça glisse	1	1	0	parce+que
elle glisse	1	1	0	qu'
qu' autrement	1	0	0	v
cinq six	5	5	0	n
hein toute	1	1	0	n
qui monte	2	2	0	n
bon aussi	1	0	1	ah
elle passait	1	0	0	qu'
ce mouchoir	1	0	0	v
sales là	1	0	0	pas
à ramasser	1	1	0	v
dernière là	1	1	0	la
y en	7	2	1	il
pour partir	2	2	0	est
des trous	1	0	0	v
un camion	2	0	2	est
hein }	302	139	66	n
des canards	1	1	0	v
d'accord là	1	0	0	ah
la vendeuse	1	0	0	v
la neige	1	0	1	de
se coller	1	0	0	ça
le tigre	1	0	1	comme
par+là }	1	1	0	
mais c'	12	8	1	ah
bras après	1	0	0	le
hérisson }	1	1	0	un
tes bêtises	2	0	2	est
mal un	1	0	0	as
Mar donc	1	1	0	v
qui rentre	2	1	0	n
dans les	16	6	9	v
hein la	1	1	0	v
pins }	1	0	0	
peut+être pas	1	0	1	v
des grands	1	1	0	dans
là pour	1	0	1	v
le garde	1	0	1	on
poils lui	1	1	0	les
par+terre hein	1	1	0	v
sac+à+dos }	1	1	0	le
fantastique dit	1	0	1	
d'accord }	9	4	2	deux
des apprentis	2	0	0	v
à Pierre	1	1	0	v
verre }	1	0	0	un
comme sur	1	1	0	hein
voyou Tim	1	0	0	
hein oui	1	1	0	n
pour s'	2	1	0	histoir
poils sont	1	0	0	les
que ne	1	1	0	v
préparé pour	1	0	0	tout
trop vite	4	0	1	pas
de mandarine	1	1	0	n
et maman	2	1	0	n
mouton }	1	0	0	un
mieux jouer	1	0	0	v
les perles	2	0	1	toutes
des galeries	1	0	1	v
des abeilles	1	1	0	v
histoire aussi	1	1	0	l'
attrapé un	1	0	0	a
autos+tamponneuses là	1	0	0	
retournes le	1	0	0	tu
lune }	1	0	0	la
neuf dix	1	0	0	v
de se	7	2	4	n
chose ça	1	0	0	autre
être joint	1	0	0	v
toute douce	1	1	0	v
finalement }	2	1	1	v
elle les	1	0	0	maman
front }	1	0	0	le
moi passer	1	0	1	est
elle }	4	1	1	qu'est+ce+qu'
pour combien	1	0	1	est
tes chaussures	1	0	1	v
réputation hein	1	0	0	
alors bon	2	1	1	et
tempérament qui	1	1	0	
minutes }	5	0	0	deux
dessus ça	1	1	0	v
les feuilles	2	0	1	n
la tasse	2	0	1	dans
de légumes	1	0	1	plus
quand tu	5	2	3	v
papa }	3	2	1	à
comme elle	1	0	1	v
en dessous+là	1	1	0	y
cochons neuf	1	0	0	les
Pinocchio donna	1	1	0	est
