contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
ou poils	1	0	0	alors
du après	1	1	0	n
sont hein	4	0	0	étonnants
de noms	1	0	0	n
{ n'	1	0	0	tu
au la	1	1	0	n
allongé }	1	0	0	là
les Tim	3	3	0	n
premier }	2	2	0	encore
vas sauter	1	0	0	v
enlève pour	1	0	0	le
{ vers	1	0	0	
ce de	3	3	0	n
vais ton	1	0	1	v
as heuh	1	0	1	v
cette }	23	22	0	n
aïe cheveux	1	0	0	aïe
ni ni	1	1	0	gentille
te }	55	8	47	v
est dessus	2	0	2	v
elle faire	1	0	1	v
fatiguée de	1	0	0	après
nous parler	1	0	1	v
tout donc	1	0	1	v
des oui	4	4	0	n
te debout	1	0	1	v
la pouf	1	1	0	n
dis+moi que	1	0	0	
te quand	1	0	1	v
{ pousse	1	0	1	on
a ans	1	0	0	deux
elle aussi	1	0	1	v
le micro	1	1	0	gros
le va	3	3	0	n
tu ta	4	0	4	v
m' où	2	0	2	v
coupe viande	1	0	0	sa
on jouer	1	0	0	v
j' heuh	1	0	1	ai
très et	1	0	0	vite
vrai rhumes	1	0	0	que
en mais	1	1	0	n
le téléphone	1	0	0	n
{ assis	1	0	1	
l' attends	1	1	0	n
{ lève	1	0	1	v
{ mon	1	0	0	oh
autre de	3	3	0	n
trop pour	3	0	1	petit
tu Tim	2	0	2	v
as les	4	0	4	v
te le	4	0	4	v
ses et	1	1	0	n
une tour	1	0	0	grande
un pour	11	11	0	n
emmener non	1	0	0	là
peu simagrées	1	0	0	de
faut retournes	1	0	0	v
est bien	1	0	0	pas
ils passer	1	0	0	v
lui le	4	2	2	v
faire ça	1	0	1	comme
était ça	1	0	0	comme
nouveau picou	1	0	0	n
{ tous	3	0	1	à
la c'	8	8	0	n
elles finir	1	0	0	sont
as ça	2	0	2	v
tiens toi	4	0	4	v
hier ça	1	1	0	là
as maman@q	1	0	1	v
va Mar	1	0	1	v
y+a un	1	0	0	pas
a sa	1	0	1	dans
du est+ce+que	1	1	0	n
alors trois+là	1	0	0	tu
deux trois	1	1	0	n
cinq six	1	1	0	et
tétine une	1	0	0	alors
j' je	1	0	1	ai
une ah	1	1	0	n
il dû	1	0	0	a
attend hein	1	0	0	je
emmènes }	1	0	1	où
hein }	10	5	1	Mar
à la	3	0	2	v
maman compte	1	1	0	n
l' gentil	1	1	0	n
les tous	2	2	0	v
le peut+être	2	1	1	v
en là	6	4	2	n
son et	1	1	0	n
rigolo que	1	0	0	hein
gentille }	1	1	0	Ali
ourse fait	1	1	0	
aurais que	1	1	0	v
un ouais	1	1	0	n
fais combien	1	0	1	v
ailes des	1	0	0	aussi
là le	1	0	1	dans
la où	3	3	0	v
euh toute	1	0	0	v
petit mh	1	1	0	n
en euh	1	0	0	v
aux avec	1	1	0	n
pas regarder	1	0	0	heuh
un toi	6	6	0	n
la Val	2	0	2	n
grande maintenant	1	1	0	n
elle les	3	0	3	a
nous Mar	1	0	1	v
se avec	5	0	5	v
ses pour	1	1	0	petits
ai }	17	6	9	v
papa }	4	3	0	n
était par	1	1	0	un
plus faut	1	0	0	n
le parce+que	2	1	1	n
ces s'il+vous+plaît	1	1	0	n
trait }	1	1	0	là
canards au	2	0	2	c'
y+a ou	1	1	0	des
là dans	1	1	0	et
{ c'	12	0	1	ça
le aussi	12	10	2	n
l' en	2	1	1	n
m les	1	0	0	m
est c'	1	0	1	que
puis de	1	0	1	au+dessus
elle quelque+chose	1	0	1	v
avais essayé	1	0	0	v
les ta	1	1	0	n
l' est	1	0	1	n
vais mon	1	0	1	v
allumer j'	1	0	0	il
ton parce+que	1	1	0	n
avec de	1	0	1	pas
ont du	3	3	0	v
vas par	2	0	2	v
gros toi	1	1	0	n
hector désolé	1	0	1	v
ils pas	5	0	1	sont
tu avec	7	3	4	v
les collent	1	1	0	n
de différentes	1	1	0	n
euh le	1	0	1	dans
